uid,seconds,ibi,pupil_size
edb,229,6.79,1977.12
edb,230,6.79,2574.07
edb,231,6.79,1824.48
edb,232,6.79,1835.73
edb,233,4.47,6852.8
edb,234,1.06,2585.97
edb,235,1.02,2023.68
edb,236,1.67,3255.27
edb,237,1.78,2062.67
edb,238,1.33,2054.23
edb,239,1.54,1513.1
edb,240,2.56,1637.6
edb,241,2.8,2439.49
edb,242,2.8,2925.65
edb,243,2.8,2850.4
edb,244,3.34,2080.14
edb,245,1.19,3084.64
edb,246,0.76,3048.61
edb,247,0.32,1545.84
edb,248,1.31,3103.86
edb,249,2.34,2925.24
edb,250,3.25,2863.46
edb,251,4.31,3345.14
edb,252,5.36,3318.1
edb,253,6.31,2996.34
edb,254,7.34,2988.25
edb,255,7.72,2960.45
edb,256,7.72,3192.93
edb,257,7.72,2608.88
edb,258,2.89,2929.57
edb,259,2.89,2811.43
edb,260,2.89,2998.16
edb,261,3.69,2632.37
edb,262,4.68,2210.88
edb,263,5.03,2667.14
edb,264,5.03,2297.08
edb,265,2.38,2366.85
edb,266,2.38,2151.53
edb,267,1.25,1478.27
edb,268,0.48,1437.6
edb,269,1.5,1040.97
edb,270,2.08,1296.25
edb,271,0.84,1188.71
edb,272,0.81,1028.26
edb,273,1.71,2137.59
edb,274,2.73,2314.6
edb,275,3.72,1975.43
edb,276,4.75,1175.3
edb,277,5.4,1375.27
edb,278,5.4,1867.1
edb,279,5.4,1225.6
edb,280,2.46,1287.99
edb,281,1.4,1407.62
edb,282,1.47,1453.79
edb,283,2.16,1246.99
edb,284,0.87,1356.29
edb,285,0.19,1719.26
edb,286,0.94,1370.1
edb,287,1.98,1817.18
edb,288,0.36,1831.91
edb,289,0.51,2654.38
edb,290,0.85,2347.71
edb,291,1.06,1883.44
edb,292,0.71,2572.91
edb,293,0.66,1353.08
edb,294,0.71,2252.48
edb,295,1.65,1078.66
edb,296,0.56,1954.81
edb,297,0.62,2138.04
edb,298,1.35,2414.53
edb,299,2.39,2364.16
